city,growth,latitude,longitude,population,state
St. Joseph,4.1,39.7674578,-94.84668099999999,77147,Missouri
Ames,21.3,42.034722,-93.61999999999999,61792,Iowa
Lakewood,1.1,47.1717649,-122.518458,59097,Washington
High Point,24.3,35.9556923,-80.0053176,107741,North Carolina
Maplewood,12.3,44.9530215,-92.9952153,39765,Minnesota
Richmond,7.9,37.9357576,-122.3477486,107571,California
Newport News,0.9,37.0870821,-76.4730122,182020,Virginia
Salina,4.5,38.8402805,-97.61142369999999,47846,Kansas
Evanston,1.9,42.0450722,-87.68769689999999,75570,Illinois
Sheboygan,-3.9,43.7508284,-87.71453,48725,Wisconsin
Mansfield,114.2,32.5631924,-97.1416768,60872,Texas
Hendersonville,31.7,36.3047735,-86.6199957,54068,Tennessee
Scranton,0,41.408969,-75.66241219999999,75806,Pennsylvania
Conroe,61.9,30.3118769,-95.45605119999999,63032,Texas
Riverside,22.5,33.9533487,-117.3961564,316619,California
West Covina,2.3,34.0686208,-117.9389526,107740,California
Bentonville,97.7,36.3728538,-94.2088172,40167,Arkansas
Peoria,3,40.6936488,-89.5889864,116513,Illinois
Warren,-2.3,42.5144566,-83.01465259999999,134873,Michigan
San Jacinto,91.8,33.7839084,-116.958635,45851,California
Surprise,281.9,33.6292337,-112.3679279,123546,Arizona
Yucaipa,26.8,34.033625,-117.0430865,52536,California
Duluth,-0.1,46.78667189999999,-92.1004852,86128,Minnesota
The Colony,45.7,33.0806083,-96.89283089999999,39458,Texas
Elizabeth,5.5,40.6639916,-74.2107006,127558,New Jersey
Altoona,-7.3,40.5186809,-78.3947359,45796,Pennsylvania
Lake Havasu City,24.6,34.483901,-114.3224548,52844,Arizona
La Mirada,4.6,33.9172357,-118.0120086,49133,California
Augusta-Richmond County,1.1,33.4734978,-82.0105148,197350,Georgia
Gresham,20.7,45.5001357,-122.4302013,109397,Oregon
Hagerstown,10.4,39.6417629,-77.71999319999999,40612,Maryland
Lincoln,285.2,38.891565,-121.2930079,45237,California
Providence,2.3,41.8239891,-71.4128343,177994,Rhode Island
Bloomington,1.3,44.840798,-93.2982799,86319,Minnesota
Greenville,41.9,35.612661,-77.3663538,89130,North Carolina
Rohnert Park,0,38.3396367,-122.7010984,41398,California
Cuyahoga Falls,-0.2,41.1339449,-81.48455849999999,49267,Ohio
Florence,10.2,34.79981,-87.677251,40059,Alabama
Alhambra,-0.7,34.095287,-118.1270146,84577,California
Springfield,12.4,44.0462362,-123.0220289,60177,Oregon
Park Ridge,0.1,42.0111412,-87.84061919999999,37839,Illinois
Waltham,5,42.3764852,-71.2356113,62227,Massachusetts
Aurora,24.4,39.7294319,-104.8319195,345803,Colorado
Johns Creek,36.5,34.0289259,-84.198579,82788,Georgia
Binghamton,-1.7,42.09868669999999,-75.91797380000001,46444,New York
Mesquite,14.7,32.76679550000001,-96.5991593,143484,Texas
Novi,22,42.48059,-83.4754913,57960,Michigan
Savannah,7.5,32.0835407,-81.09983419999999,142772,Georgia
Arvada,9.2,39.8027644,-105.0874842,111707,Colorado
Annapolis,7.6,38.9784453,-76.4921829,38722,Maryland
Lodi,10.1,38.1341477,-121.2722194,63338,California
Janesville,5.6,42.6827885,-89.0187222,63820,Wisconsin
Racine,-4.4,42.7261309,-87.78285230000002,78199,Wisconsin
Perth Amboy,9.7,40.5067723,-74.2654234,51982,New Jersey
Tucson,7.5,32.2217429,-110.926479,526116,Arizona
North Richland Hills,20.2,32.8342952,-97.2289029,67317,Texas
Shawnee,32.2,39.02284849999999,-94.7151865,64323,Kansas
Hurst,5.8,32.8234621,-97.1705678,38448,Texas
Idaho Falls,14,43.49165139999999,-112.0339645,58292,Idaho
Rock Island,-1.9,41.5094771,-90.5787476,38877,Illinois
La Crosse,-0.8,43.8013556,-91.23958069999999,51522,Wisconsin
Milford,1.8,41.2306979,-73.064036,51644,Connecticut
Lake Oswego,5.3,45.42067489999999,-122.6706498,37610,Oregon
Springfield,4.2,39.78172130000001,-89.6501481,117006,Illinois
Blacksburg,9.4,37.2295733,-80.4139393,43609,Virginia
Billings,18.6,45.7832856,-108.5006904,109059,Montana
Chico,14.2,39.7284944,-121.8374777,88077,California
Hamilton,2.7,39.3995008,-84.5613355,62258,Ohio
Redwood City,7.1,37.48521520000001,-122.2363548,80872,California
Council Bluffs,6.2,41.2619444,-95.8608333,61969,Iowa
Woonsocket,-5.2,42.00287609999999,-71.51478390000001,41026,Rhode Island
Bossier City,17.4,32.5159852,-93.7321228,66333,Louisiana
Aurora,38.4,41.7605849,-88.32007150000001,199963,Illinois
Weymouth Town,0,42.2180724,-70.94103559999999,55419,Massachusetts
El Paso,19.4,31.7775757,-106.4424559,674433,Texas
Fort Pierce,6.9,27.4467056,-80.3256056,43074,Florida
Orange,7.7,33.7877944,-117.8531119,139969,California
Buckeye,480.9,33.3703197,-112.5837766,56683,Arizona
Merced,25.4,37.3021632,-120.4829677,81102,California
Chapel Hill,24.1,35.9131996,-79.0558445,59635,North Carolina
Montgomery,-0.1,32.3668052,-86.2999689,201332,Alabama
Lakewood,1.9,39.7047095,-105.0813734,147214,Colorado
Odessa,22.3,31.8456816,-102.3676431,110720,Texas
Youngstown,-20.2,41.0997803,-80.6495194,65184,Ohio
Charleston,29.2,32.7764749,-79.93105120000001,127999,South Carolina
Topeka,3.4,39.0558235,-95.68901849999999,127679,Kansas
New Braunfels,64,29.7030024,-98.1244531,63279,Texas
Vallejo,1.2,38.1040864,-122.2566367,118837,California
Yuba City,27.9,39.1404477,-121.6169108,65416,California
Homestead,100.7,25.4687224,-80.4775569,64079,Florida
Cary,55.1,35.79154,-78.7811169,151088,North Carolina
Apex,98.8,35.732652,-78.85028559999999,42214,North Carolina
Winston-Salem,16.9,36.09985959999999,-80.244216,236441,North Carolina
Ontario,5.5,34.0633443,-117.6508876,167500,California
Davis,11.9,38.5449065,-121.7405167,66205,California
Linden,4.7,40.6220478,-74.24459019999999,41301,New Jersey
Wylie,185.2,33.0151201,-96.5388789,44575,Texas
Middletown,3.6,41.5623209,-72.6506488,47333,Connecticut
Reading,8,40.3356483,-75.9268747,87893,Pennsylvania
Taylorsville,2.9,40.66772479999999,-111.9388258,60519,Utah
West Haven,5.1,41.2705484,-72.9469711,55046,Connecticut
Miami Beach,3.3,25.790654,-80.1300455,91026,Florida
Saginaw,-18.2,43.4194699,-83.9508068,50303,Michigan
Lorain,-7.2,41.452819,-82.1823746,63710,Ohio
