NAME	LOCATION	STATUS	LATX	LONGX	TYPE
Adatara	Honshu-Japan	Historical	37.64416667	140.2861111	Stratovolcanoes
Azuma	Honshu-Japan	Historical	37.73222222	140.2477778	Stratovolcanoes
Hijiori	Honshu-Japan	Holocene	38.60583333	140.1783333	Caldera
Zao	Honshu-Japan	Historical	38.14055556	140.4427778	Complex volcano
Narugo	Honshu-Japan	Historical	38.73305556	140.7316667	Caldera
Kurikoma	Honshu-Japan	Historical	38.95805556	140.7919444	Stratovolcano
Chokai	Honshu-Japan	Historical	39.09638889	140.0522222	Stratovolcanoes
Akita-Komaga-take	Honshu-Japan	Historical	39.75833333	140.8027778	Stratovolcanoes
Iwate	Honshu-Japan	Historical	39.84972222	141.0044444	Complex volcano
Hachimantai	Honshu-Japan	Radiocarbon	39.955	140.8575	Stratovolcano
Megata	Honshu-Japan	Tephrochronology	39.95	139.7333333	Maars
Akita-Yake-yama	Honshu-Japan	Historical	39.96111111	140.7605556	Stratovolcano
Towada	Honshu-Japan	Historical	40.46666667	140.9166667	Caldera
Iwaki	Honshu-Japan	Historical	40.65333333	140.3066667	Stratovolcano
Hakkoda Group	Honshu-Japan	Radiocarbon	40.65611111	140.8808333	Stratovolcanoes
Osore-yama	Honshu-Japan	Historical	41.27583333	141.1236111	Stratovolcano
To-shima	Izu Is-Japan	Tephrochronology	34.51694444	139.2825	Stratovolcano
Oshima	Izu Is-Japan	Historical	34.72138889	139.3977778	Stratovolcano
Nii-jima	Izu Is-Japan	Historical	34.39333333	139.2733333	Lava domes
Kozu-shima	Izu Is-Japan	Historical	34.21611111	139.1563889	Lava domes
Mikura-jima	Izu Is-Japan	Tephrochronology	33.87111111	139.605	Stratovolcano
Kurose Hole	Izu Is-Japan	Holocene?	33.4	139.6833333	Submarine volcano
Miyake-jima	Izu Is-Japan	Historical	34.07861111	139.5294444	Stratovolcano
Hachijo-jima	Izu Is-Japan	Historical	33.13333333	139.7691667	Stratovolcanoes
Myojin Knoll	Izu Is-Japan	Holocene?	32.1	139.85	Submarine volcano
Aoga-shima	Izu Is-Japan	Historical	32.45416667	139.7622222	Stratovolcano
Bayonnaise Rocks	Izu Is-Japan	Historical	31.88333333	139.9166667	Submarine volcano
Smith Rock	Izu Is-Japan	Historical	31.43583333	140.0536111	Submarine volcano
Sofugan	Izu Is-Japan	Uncertain	29.78944444	140.3452778	Stratovolcano
Suiyo Seamount	Izu Is-Japan	Fumarolic	28.6	140.6333333	Submarine volcano
Mokuyo Seamount	Izu Is-Japan	Fumarolic	28.31666667	140.5666667	Submarine volcano
Doyo Seamount	Izu Is-Japan	Fumarolic	27.68333333	140.8	Submarine volcano
Nishino-shima	Volcano Is-Japan	Historical	27.27416667	140.8822222	Caldera
Kaikata Seamount	Volcano Is-Japan	Fumarolic	26.66666667	141	Submarine volcano
Tori-shima	Izu Is-Japan	Historical	30.48	140.3061111	Stratovolcano
Unnamed	Volcano Is-Japan	Uncertain	26.13333333	144.4833333	Submarine volcano?
Kaitoku Seamount	Volcano Is-Japan	Historical	26.12166667	141.1016667	Submarine volcano
Kita-Iwo-jima	Volcano Is-Japan	Historical	25.42361111	141.2838889	Stratovolcano
Kita-Fukutokutai	Volcano Is-Japan	Historical	24.41388889	141.4186111	Submarine volcano
Ioto [Iwo-jima]	Volcano Is-Japan	Historical	24.75361111	141.2902778	Caldera
Minami-Hiyoshi	Volcano Is-Japan	Historical	23.49666667	141.94	Submarine volcano
Nikko	Volcano Is-Japan	Fumarolic	23.075	142.3083333	Submarine volcano
Fukujin	Volcano Is-Japan	Historical	21.93333333	143.4666667	Submarine volcano
Kasuga	Volcano Is-Japan	Historical	21.765	143.71	Submarine volcano
Minami Kasuga	Volcano Is-Japan	Holocene	21.6	143.6366667	Submarine volcano
NW Eifuku	Volcano Is-Japan	Fumarolic	21.48472222	144.0430556	Submarine volcano
Daikoku	Volcano Is-Japan	Fumarolic	21.32361111	144.1944444	Submarine volcano
Unnamed	Mariana Is-C Pacific	Uncertain	21	142.9	Submarine volcano?
Unnamed	Mariana Is-C Pacific	Uncertain	20.3	143.2	Submarine volcano?
Fukutoku-Okanoba	Volcano Is-Japan	Historical	24.28333333	141.485	Submarine volcano
Ahyi	Mariana Is-C Pacific	Seismicity	20.41666667	145.0333333	Submarine volcano
Supply Reef	Mariana Is-C Pacific	Hydrophonic	20.13333333	145.1	Submarine volcano
Maug Islands	Mariana Is-C Pacific	Fumarolic	20.01666667	145.2166667	Stratovolcano
Farallon de Pajaros	Mariana Is-C Pacific	Historical	20.53805556	144.8958333	Stratovolcano
Asuncion	Mariana Is-C Pacific	Historical	19.67083333	145.4055556	Stratovolcano
Agrigan	Mariana Is-C Pacific	Historical	18.76666667	145.6666667	Stratovolcano
Pagan	Mariana Is-C Pacific	Historical	18.13333333	145.8	Stratovolcanoes
Alamagan	Mariana Is-C Pacific	Radiocarbon	17.6	145.8333333	Stratovolcano
Zealandia Bank	Mariana Is-C Pacific	Fumarolic	16.88333333	145.85	Stratovolcano
Sarigan	Mariana Is-C Pacific	Holocene	16.70833333	145.7833333	Stratovolcano
Guguan	Mariana Is-C Pacific	Historical	17.30722222	145.8447222	Stratovolcano
East Diamante	Mariana Is-C Pacific	Fumarolic	15.93333333	145.6666667	Submarine volcano
Ruby	Mariana Is-C Pacific	Historical	15.61666667	145.5666667	Submarine volcano
Anatahan	Mariana Is-C Pacific	Historical	16.35	145.6666667	Stratovolcano
