CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
867442275,09/29/2016,22:16:00,09/29/2016,22:28:00,09/30/2016,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,106,,STREET,,,1030121,182368,40.66712415,-73.834651291,"(40.66712415, -73.834651291)"
835261337,09/29/2016,22:00:00,09/30/2016,05:50:00,09/30/2016,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,STREET,,,938416,138712,40.547297751,-74.164921941,"(40.547297751, -74.164921941)"
885507916,09/29/2016,22:00:00,09/30/2016,07:30:00,09/30/2016,126,MISCELLANEOUS PENAL LAW,117,RECKLESS ENDANGERMENT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESIDENCE - APT. HOUSE,,,997024,239382,40.823722867,-73.953846969,"(40.823722867, -73.953846969)"
439245748,09/29/2016,22:00:00,09/30/2016,07:00:00,09/30/2016,107,BURGLARY,233,"BURGLARY,TRUCK NIGHT",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,71,FRONT OF,STREET,,,996195,183198,40.669513084,-73.956942055,"(40.669513084, -73.956942055)"
936034450,09/29/2016,22:00:00,09/29/2016,22:15:00,09/30/2016,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ATTEMPTED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,40,FRONT OF,STREET,,,1006853,233369,40.807199186,-73.918353502,"(40.807199186, -73.918353502)"
936471356,09/29/2016,22:00:00,,,09/30/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,RESIDENCE-HOUSE,,,938416,138712,40.547297751,-74.164921941,"(40.547297751, -74.164921941)"
142465369,09/29/2016,22:00:00,09/30/2016,08:50:00,09/30/2016,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,FRONT OF,PARKING LOT/GARAGE (PRIVATE),,,996633,220135,40.77089564,-73.955295202,"(40.77089564, -73.955295202)"
755718447,09/29/2016,22:00:00,09/30/2016,08:50:00,09/30/2016,109,GRAND LARCENY,457,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,FRONT OF,STREET,,,994370,220320,40.771406297,-73.963465014,"(40.771406297, -73.963465014)"
599524301,09/29/2016,22:00:00,09/30/2016,00:00:00,09/30/2016,109,GRAND LARCENY,418,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,BAR/NIGHT CLUB,,,990849,212457,40.749827705,-73.976184667,"(40.749827705, -73.976184667)"
596999447,09/29/2016,22:00:00,09/29/2016,22:05:00,09/30/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,,STREET,,,1006523,220718,40.772476437,-73.919587496,"(40.772476437, -73.919587496)"
